snapshot_date,material_id,qty_unit,inventory_qty,safety_stock
2025-01-01,MAT-001,ea,402,200
2025-01-02,MAT-001,ea,379,200
2025-01-03,MAT-001,ea,346,200
2025-01-04,MAT-001,ea,337,200
2025-01-05,MAT-001,ea,317,200
2025-01-06,MAT-001,ea,279,200
2025-01-07,MAT-001,ea,262,200
2025-01-08,MAT-001,ea,385,200
2025-01-09,MAT-001,ea,364,200
2025-01-10,MAT-001,ea,359,200
2025-01-11,MAT-001,ea,322,200
2025-01-12,MAT-001,ea,298,200
2025-01-13,MAT-001,ea,280,200
2025-01-14,MAT-001,ea,269,200
2025-01-15,MAT-001,ea,401,200
2025-01-16,MAT-001,ea,372,200
2025-01-17,MAT-001,ea,344,200
2025-01-18,MAT-001,ea,322,200
2025-01-19,MAT-001,ea,311,200
2025-01-20,MAT-001,ea,291,200
2025-01-21,MAT-001,ea,274,200
2025-01-22,MAT-001,ea,395,200
2025-01-23,MAT-001,ea,369,200
2025-01-24,MAT-001,ea,342,200
2025-01-25,MAT-001,ea,334,200
2025-01-26,MAT-001,ea,317,200
2025-01-27,MAT-001,ea,278,200
2025-01-28,MAT-001,ea,265,200
2025-01-29,MAT-001,ea,403,200
2025-01-30,MAT-001,ea,381,200
2025-01-31,MAT-001,ea,344,200
2025-02-01,MAT-001,ea,333,200
2025-02-02,MAT-001,ea,314,200
2025-02-03,MAT-001,ea,279,200
2025-02-04,MAT-001,ea,269,200
2025-02-05,MAT-001,ea,401,200
2025-02-06,MAT-001,ea,379,200
2025-02-07,MAT-001,ea,361,200
2025-02-08,MAT-001,ea,331,200
2025-02-09,MAT-001,ea,314,200
2025-02-10,MAT-001,ea,287,200
2025-02-11,MAT-001,ea,272,200
2025-02-12,MAT-001,ea,384,200
2025-02-13,MAT-001,ea,367,200
2025-02-14,MAT-001,ea,355,200
2025-02-15,MAT-001,ea,339,200
2025-02-16,MAT-001,ea,310,200
2025-02-17,MAT-001,ea,292,200
2025-02-18,MAT-001,ea,260,200
2025-02-19,MAT-001,ea,388,200
2025-02-20,MAT-001,ea,363,200
2025-02-21,MAT-001,ea,353,200
2025-02-22,MAT-001,ea,321,200
2025-02-23,MAT-001,ea,299,200
2025-02-24,MAT-001,ea,288,200
2025-02-25,MAT-001,ea,263,200
2025-02-26,MAT-001,ea,390,200
2025-02-27,MAT-001,ea,371,200
2025-02-28,MAT-001,ea,350,200
2025-03-01,MAT-001,ea,325,200
2025-03-02,MAT-001,ea,300,200
2025-03-03,MAT-001,ea,279,200
2025-03-04,MAT-001,ea,267,200
2025-03-05,MAT-001,ea,390,200
2025-03-06,MAT-001,ea,364,200
2025-03-07,MAT-001,ea,350,200
2025-03-08,MAT-001,ea,337,200
2025-03-09,MAT-001,ea,318,200
2025-03-10,MAT-001,ea,296,200
2025-03-11,MAT-001,ea,261,200
2025-03-12,MAT-001,ea,386,200
2025-03-13,MAT-001,ea,364,200
2025-03-14,MAT-001,ea,357,200
2025-03-15,MAT-001,ea,334,200
2025-03-16,MAT-001,ea,317,200
2025-03-17,MAT-001,ea,284,200
2025-03-18,MAT-001,ea,271,200
2025-03-19,MAT-001,ea,403,200
2025-03-20,MAT-001,ea,375,200
2025-03-21,MAT-001,ea,341,200
2025-03-22,MAT-001,ea,323,200
2025-03-23,MAT-001,ea,301,200
2025-03-24,MAT-001,ea,282,200
2025-03-25,MAT-001,ea,260,200
2025-03-26,MAT-001,ea,390,200
2025-03-27,MAT-001,ea,369,200
2025-03-28,MAT-001,ea,346,200
2025-03-29,MAT-001,ea,322,200
2025-03-30,MAT-001,ea,306,200
2025-03-31,MAT-001,ea,281,200
2025-01-01,MAT-002,kg,409.046,212.000
2025-01-02,MAT-002,kg,392.815,212.000
2025-01-03,MAT-002,kg,377.096,212.000
2025-01-04,MAT-002,kg,350.459,212.000
2025-01-05,MAT-002,kg,335.230,212.000
2025-01-06,MAT-002,kg,321.941,212.000
2025-01-07,MAT-002,kg,306.380,212.000
2025-01-08,MAT-002,kg,286.395,212.000
2025-01-09,MAT-002,kg,413.595,212.000
2025-01-10,MAT-002,kg,397.688,212.000
2025-01-11,MAT-002,kg,385.698,212.000
2025-01-12,MAT-002,kg,366.972,212.000
2025-01-13,MAT-002,kg,336.240,212.000
2025-01-14,MAT-002,kg,320.052,212.000
2025-01-15,MAT-002,kg,298.002,212.000
2025-01-16,MAT-002,kg,284.883,212.000
2025-01-17,MAT-002,kg,415.314,212.000
2025-01-18,MAT-002,kg,387.869,212.000
2025-01-19,MAT-002,kg,384.363,212.000
2025-01-20,MAT-002,kg,349.140,212.000
2025-01-21,MAT-002,kg,340.616,212.000
2025-01-22,MAT-002,kg,311.296,212.000
2025-01-23,MAT-002,kg,299.298,212.000
2025-01-24,MAT-002,kg,273.949,212.000
2025-01-25,MAT-002,kg,427.742,212.000
2025-01-26,MAT-002,kg,406.413,212.000
2025-01-27,MAT-002,kg,378.022,212.000
2025-01-28,MAT-002,kg,361.878,212.000
2025-01-29,MAT-002,kg,342.663,212.000
2025-01-30,MAT-002,kg,307.921,212.000
2025-01-31,MAT-002,kg,297.086,212.000
2025-02-01,MAT-002,kg,269.681,212.000
2025-02-02,MAT-002,kg,409.026,212.000
2025-02-03,MAT-002,kg,390.328,212.000
2025-02-04,MAT-002,kg,368.883,212.000
2025-02-05,MAT-002,kg,355.563,212.000
2025-02-06,MAT-002,kg,344.768,212.000
2025-02-07,MAT-002,kg,320.001,212.000
2025-02-08,MAT-002,kg,290.453,212.000
2025-02-09,MAT-002,kg,274.921,212.000
2025-02-10,MAT-002,kg,423.944,212.000
2025-02-11,MAT-002,kg,405.741,212.000
2025-02-12,MAT-002,kg,378.993,212.000
2025-02-13,MAT-002,kg,350.057,212.000
2025-02-14,MAT-002,kg,335.710,212.000
2025-02-15,MAT-002,kg,327.440,212.000
2025-02-16,MAT-002,kg,306.622,212.000
2025-02-17,MAT-002,kg,288.129,212.000
2025-02-18,MAT-002,kg,426.256,212.000
2025-02-19,MAT-002,kg,405.360,212.000
2025-02-20,MAT-002,kg,385.555,212.000
2025-02-21,MAT-002,kg,348.799,212.000
2025-02-22,MAT-002,kg,342.090,212.000
2025-02-23,MAT-002,kg,319.345,212.000
2025-02-24,MAT-002,kg,305.222,212.000
2025-02-25,MAT-002,kg,271.368,212.000
2025-02-26,MAT-002,kg,410.393,212.000
2025-02-27,MAT-002,kg,405.527,212.000
2025-02-28,MAT-002,kg,371.701,212.000
2025-03-01,MAT-002,kg,363.768,212.000
2025-03-02,MAT-002,kg,340.115,212.000
2025-03-03,MAT-002,kg,325.787,212.000
2025-03-04,MAT-002,kg,298.104,212.000
2025-03-05,MAT-002,kg,281.312,212.000
2025-03-06,MAT-002,kg,426.644,212.000
2025-03-07,MAT-002,kg,398.587,212.000
2025-03-08,MAT-002,kg,377.879,212.000
2025-03-09,MAT-002,kg,366.236,212.000
2025-03-10,MAT-002,kg,328.408,212.000
2025-03-11,MAT-002,kg,326.290,212.000
2025-03-12,MAT-002,kg,300.058,212.000
2025-03-13,MAT-002,kg,279.656,212.000
2025-03-14,MAT-002,kg,425.940,212.000
2025-03-15,MAT-002,kg,401.374,212.000
2025-03-16,MAT-002,kg,385.717,212.000
2025-03-17,MAT-002,kg,347.508,212.000
2025-03-18,MAT-002,kg,338.953,212.000
2025-03-19,MAT-002,kg,321.561,212.000
2025-03-20,MAT-002,kg,292.603,212.000
2025-03-21,MAT-002,kg,284.961,212.000
