production_date,line_id,shift_id,order_id,product_id,qty_unit,actual_qty,runtime_minutes,downtime_minutes
2025-01-01,LINE-01,DAY,MO-001-01-1,PRD-001,ea,962,445.000,22.000
2025-01-01,LINE-01,NIGHT,MO-001-01-2,PRD-002,ea,830,445.000,14.000
2025-01-01,LINE-02,DAY,MO-001-02-1,PRD-003,ea,1007,436.000,27.000
2025-01-01,LINE-02,NIGHT,MO-001-02-2,PRD-004,ea,930,433.000,26.000
2025-01-01,LINE-03,DAY,MO-001-03-1,PRD-005,ea,1096,441.000,31.000
2025-01-01,LINE-03,NIGHT,MO-001-03-2,PRD-006,ea,995,445.000,15.000
2025-01-02,LINE-01,DAY,MO-002-01-1,PRD-008,ea,1057,452.000,9.000
2025-01-02,LINE-01,NIGHT,MO-002-01-2,PRD-009,ea,1026,425.000,33.000
2025-01-02,LINE-02,DAY,MO-002-02-1,PRD-010,ea,1119,460.000,12.000
2025-01-02,LINE-02,NIGHT,MO-002-02-2,PRD-011,ea,1100,446.000,23.000
2025-01-02,LINE-03,DAY,MO-002-03-1,PRD-012,ea,1278,428.000,35.000
2025-01-02,LINE-03,NIGHT,MO-002-03-2,PRD-013,ea,1199,442.000,25.000
2025-01-03,LINE-01,DAY,MO-003-01-1,PRD-015,ea,1211,455.000,11.000
2025-01-03,LINE-01,NIGHT,MO-003-01-2,PRD-016,ea,1098,437.000,30.000
2025-01-03,LINE-02,DAY,MO-003-02-1,PRD-017,ea,1240,442.000,17.000
2025-01-03,LINE-02,NIGHT,MO-003-02-2,PRD-018,ea,1254,431.000,33.000
2025-01-03,LINE-03,DAY,MO-003-03-1,PRD-019,ea,1331,448.000,12.000
2025-01-03,LINE-03,NIGHT,MO-003-03-2,PRD-020,ea,1346,449.000,12.000
2025-01-04,LINE-01,DAY,MO-004-01-1,PRD-002,ea,946,451.000,12.000
2025-01-04,LINE-01,NIGHT,MO-004-01-2,PRD-003,ea,870,447.000,12.000
2025-01-04,LINE-02,DAY,MO-004-02-1,PRD-004,ea,1035,445.000,23.000
2025-01-04,LINE-02,NIGHT,MO-004-02-2,PRD-005,ea,974,447.000,16.000
