production_date,line_id,shift_id,order_id,product_id,qty_unit,planned_qty,planned_production_minutes
2025-01-01,LINE-01,DAY,MO-001-01-1,PRD-001,ea,958,480.000
2025-01-01,LINE-01,NIGHT,MO-001-01-2,PRD-002,ea,862,480.000
2025-01-01,LINE-02,DAY,MO-001-02-1,PRD-003,ea,1007,480.000
2025-01-01,LINE-02,NIGHT,MO-001-02-2,PRD-004,ea,973,480.000
2025-01-01,LINE-03,DAY,MO-001-03-1,PRD-005,ea,1116,480.000
2025-01-01,LINE-03,NIGHT,MO-001-03-2,PRD-006,ea,1025,480.000
2025-01-02,LINE-01,DAY,MO-002-01-1,PRD-008,ea,1041,480.000
2025-01-02,LINE-01,NIGHT,MO-002-01-2,PRD-009,ea,1003,480.000
2025-01-02,LINE-02,DAY,MO-002-02-1,PRD-010,ea,1135,480.000
2025-01-02,LINE-02,NIGHT,MO-002-02-2,PRD-011,ea,1112,480.000
2025-01-02,LINE-03,DAY,MO-002-03-1,PRD-012,ea,1245,480.000
2025-01-02,LINE-03,NIGHT,MO-002-03-2,PRD-013,ea,1182,480.000
2025-01-03,LINE-01,DAY,MO-003-01-1,PRD-015,ea,1222,480.000
2025-01-03,LINE-01,NIGHT,MO-003-01-2,PRD-016,ea,1117,480.000
2025-01-03,LINE-02,DAY,MO-003-02-1,PRD-017,ea,1300,480.000
2025-01-03,LINE-02,NIGHT,MO-003-02-2,PRD-018,ea,1216,480.000
2025-01-03,LINE-03,DAY,MO-003-03-1,PRD-019,ea,1376,480.000
2025-01-03,LINE-03,NIGHT,MO-003-03-2,PRD-020,ea,1316,480.000
2025-01-04,LINE-01,DAY,MO-004-01-1,PRD-002,ea,946,480.000
2025-01-04,LINE-01,NIGHT,MO-004-01-2,PRD-003,ea,855,480.000
2025-01-04,LINE-02,DAY,MO-004-02-1,PRD-004,ea,1039,480.000
2025-01-04,LINE-02,NIGHT,MO-004-02-2,PRD-005,ea,946,480.000
