production_date,line_id,shift_id,order_id,product_id,qty_unit,good_qty,scrap_qty
2025-01-01,LINE-01,DAY,MO-001-01-1,PRD-001,ea,938,24
2025-01-01,LINE-01,NIGHT,MO-001-01-2,PRD-002,ea,809,21
2025-01-01,LINE-02,DAY,MO-001-02-1,PRD-003,ea,992,15
2025-01-01,LINE-02,NIGHT,MO-001-02-2,PRD-004,ea,913,17
2025-01-01,LINE-03,DAY,MO-001-03-1,PRD-005,ea,1065,31
2025-01-01,LINE-03,NIGHT,MO-001-03-2,PRD-006,ea,976,19
2025-01-02,LINE-01,DAY,MO-002-01-1,PRD-008,ea,1038,19
2025-01-02,LINE-01,NIGHT,MO-002-01-2,PRD-009,ea,1001,25
2025-01-02,LINE-02,DAY,MO-002-02-1,PRD-010,ea,1091,28
2025-01-02,LINE-02,NIGHT,MO-002-02-2,PRD-011,ea,1085,15
2025-01-02,LINE-03,DAY,MO-002-03-1,PRD-012,ea,1262,16
2025-01-02,LINE-03,NIGHT,MO-002-03-2,PRD-013,ea,1183,16
2025-01-03,LINE-01,DAY,MO-003-01-1,PRD-015,ea,1187,24
2025-01-03,LINE-01,NIGHT,MO-003-01-2,PRD-016,ea,1086,12
2025-01-03,LINE-02,DAY,MO-003-02-1,PRD-017,ea,1213,27
2025-01-03,LINE-02,NIGHT,MO-003-02-2,PRD-018,ea,1228,26
2025-01-03,LINE-03,DAY,MO-003-03-1,PRD-019,ea,1297,34
2025-01-03,LINE-03,NIGHT,MO-003-03-2,PRD-020,ea,1314,32
2025-01-04,LINE-01,DAY,MO-004-01-1,PRD-002,ea,921,25
2025-01-04,LINE-01,NIGHT,MO-004-01-2,PRD-003,ea,856,14
2025-01-04,LINE-02,DAY,MO-004-02-1,PRD-004,ea,1018,17
2025-01-04,LINE-02,NIGHT,MO-004-02-2,PRD-005,ea,952,22
2025-01-04,LINE-03,DAY,MO-004-03-1,PRD-006,ea,1099,16
2025-01-04,LINE-03,NIGHT,MO-004-03-2,PRD-007,ea,1037,25
2025-01-05,LINE-01,DAY,MO-005-01-1,PRD-009,ea,1077,27
2025-01-05,LINE-01,NIGHT,MO-005-01-2,PRD-010,ea,1000,16
2025-01-05,LINE-02,DAY,MO-005-02-1,PRD-011,ea,1147,34
2025-01-05,LINE-02,NIGHT,MO-005-02-2,PRD-012,ea,1048,26
2025-01-05,LINE-03,DAY,MO-005-03-1,PRD-013,ea,1172,25
2025-01-05,LINE-03,NIGHT,MO-005-03-2,PRD-014,ea,1123,18
2025-01-06,LINE-01,DAY,MO-006-01-1,PRD-016,ea,1151,25
2025-01-06,LINE-01,NIGHT,MO-006-01-2,PRD-017,ea,1103,33
2025-01-06,LINE-02,DAY,MO-006-02-1,PRD-018,ea,1269,15
2025-01-06,LINE-02,NIGHT,MO-006-02-2,PRD-019,ea,1216,18
2025-01-06,LINE-03,DAY,MO-006-03-1,PRD-020,ea,1298,40
2025-01-06,LINE-03,NIGHT,MO-006-03-2,PRD-001,ea,914,10
2025-01-07,LINE-01,DAY,MO-007-01-1,PRD-003,ea,933,28
2025-01-07,LINE-01,NIGHT,MO-007-01-2,PRD-004,ea,879,17
2025-01-07,LINE-02,DAY,MO-007-02-1,PRD-005,ea,1017,26
2025-01-07,LINE-02,NIGHT,MO-007-02-2,PRD-006,ea,987,23
2025-01-07,LINE-03,DAY,MO-007-03-1,PRD-007,ea,1105,23
2025-01-07,LINE-03,NIGHT,MO-007-03-2,PRD-008,ea,1036,25
2025-01-08,LINE-01,DAY,MO-008-01-1,PRD-010,ea,1059,31
2025-01-08,LINE-01,NIGHT,MO-008-01-2,PRD-011,ea,975,25
2025-01-08,LINE-02,DAY,MO-008-02-1,PRD-012,ea,1131,23
2025-01-08,LINE-02,NIGHT,MO-008-02-2,PRD-013,ea,1112,34
2025-01-08,LINE-03,DAY,MO-008-03-1,PRD-014,ea,1262,14
2025-01-08,LINE-03,NIGHT,MO-008-03-2,PRD-015,ea,1126,32
2025-01-09,LINE-01,DAY,MO-009-01-1,PRD-017,ea,1265,18
2025-01-09,LINE-01,NIGHT,MO-009-01-2,PRD-018,ea,1128,30
2025-01-09,LINE-02,DAY,MO-009-02-1,PRD-019,ea,1206,27
2025-01-09,LINE-02,NIGHT,MO-009-02-2,PRD-020,ea,1203,29
2025-01-09,LINE-03,DAY,MO-009-03-1,PRD-001,ea,1007,28
2025-01-09,LINE-03,NIGHT,MO-009-03-2,PRD-002,ea,964,28
2025-01-10,LINE-01,DAY,MO-010-01-1,PRD-004,ea,923,22
2025-01-10,LINE-01,NIGHT,MO-010-01-2,PRD-005,ea,937,29
2025-01-10,LINE-02,DAY,MO-010-02-1,PRD-006,ea,1096,30
2025-01-10,LINE-02,NIGHT,MO-010-02-2,PRD-007,ea,977,30
2025-01-10,LINE-03,DAY,MO-010-03-1,PRD-008,ea,1157,26
2025-01-10,LINE-03,NIGHT,MO-010-03-2,PRD-009,ea,1028,10
2025-01-11,LINE-01,DAY,MO-011-01-1,PRD-011,ea,1141,35
2025-01-11,LINE-01,NIGHT,MO-011-01-2,PRD-012,ea,986,23
2025-01-11,LINE-02,DAY,MO-011-02-1,PRD-013,ea,1213,33
2025-01-11,LINE-02,NIGHT,MO-011-02-2,PRD-014,ea,1117,32
2025-01-11,LINE-03,DAY,MO-011-03-1,PRD-015,ea,1232,27
2025-01-11,LINE-03,NIGHT,MO-011-03-2,PRD-016,ea,1198,13
2025-01-12,LINE-01,DAY,MO-012-01-1,PRD-018,ea,1166,33
2025-01-12,LINE-01,NIGHT,MO-012-01-2,PRD-019,ea,1126,28
2025-01-12,LINE-02,DAY,MO-012-02-1,PRD-020,ea,1303,15
2025-01-12,LINE-02,NIGHT,MO-012-02-2,PRD-001,ea,845,9
2025-01-12,LINE-03,DAY,MO-012-03-1,PRD-002,ea,1099,14
2025-01-12,LINE-03,NIGHT,MO-012-03-2,PRD-003,ea,963,18
2025-01-13,LINE-01,DAY,MO-013-01-1,PRD-005,ea,990,29
2025-01-13,LINE-01,NIGHT,MO-013-01-2,PRD-006,ea,940,17
2025-01-13,LINE-02,DAY,MO-013-02-1,PRD-007,ea,1002,26
